Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
acl1756,1,1984,2645,title,453,126,1734,437
acl1756,1,1984,2645,text box,219,841,1814,252
acl1756,1,1984,2645,picture,1744,1249,497,277
acl1756,1,1984,2645,picture,229,1215,2030,449
acl1756,7,1984,2645,title,655,236,1341,214
acl1756,7,1984,2645,text box,153,817,1062,136
acl1756,7,1984,2645,text box,155,1002,1060,420
acl1756,7,1984,2645,text box,152,637,772,133
acl1756,7,1984,2645,diagram,1394,642,1106,890
acl1756,7,1984,2645,text box,152,997,1065,580
acl1756,10,1984,2645,text box,151,633,2081,317
acl1756,10,1984,2645,text box,143,1024,2264,525
acl1756,10,1984,2645,text box,157,231,2339,220
acl1756,10,1984,2645,text box,145,1019,2257,320
acl1756,12,1984,2645,chart,1248,712,1374,1002
acl1756,12,1984,2645,title,511,243,1628,182
acl1756,12,1984,2645,text box,138,654,913,444
acl1756,12,1984,2645,text box,134,1127,1045,316
acl1756,16,1984,2645,chart,572,491,1528,1471
acl1756,16,1984,2645,title,197,248,2257,190
acl1756,16,1984,2645,text box,1073,1908,559,52
acl1756,17,1984,2645,text box,221,643,2109,646
acl1756,17,1984,2645,text box,594,234,1464,211
